,Unnamed: 0,longitude,latitude,data,periodo,periodo_inicial,periodo_final,hora_inicial,minute_inicial,hora_final,minute_final
0,0,-46.72727889999999,-23.6671555,2015-01-01,De 18:52 a 20:35,18:52,18:59,18,52,18,59
1,1,-46.72727889999999,-23.6671555,2015-01-01,De 18:52 a 20:35,19:00,19:59,19,0,19,59
2,2,-46.72727889999999,-23.6671555,2015-01-01,De 18:52 a 20:35,20:00,20:35,20,0,20,35
3,3,-46.73041920000001,-23.5907654,2015-01-02,De 18:02 a 18:52,18:02,18:52,18,2,18,52
4,4,-46.7207879,-23.4369619,2015-01-03,De 18:20 a 22:42,18:20,18:59,18,20,18,59
5,5,-46.7207879,-23.4369619,2015-01-03,De 18:20 a 22:42,19:00,19:59,19,0,19,59
6,6,-46.7207879,-23.4369619,2015-01-03,De 18:20 a 22:42,20:00,20:59,20,0,20,59
7,7,-46.7207879,-23.4369619,2015-01-03,De 18:20 a 22:42,21:00,21:59,21,0,21,59
8,8,-46.7207879,-23.4369619,2015-01-03,De 18:20 a 22:42,22:00,22:42,22,0,22,42
9,9,-46.6303538,-23.5238896,2015-01-05,De 14:36 a 15:46,14:36,14:59,14,36,14,59
10,10,-46.6303538,-23.5238896,2015-01-05,De 14:36 a 15:46,15:00,15:46,15,0,15,46
11,11,-46.7009942,-23.5721786,2015-01-05,De 16:29 a 18:26,16:29,16:59,16,29,16,59
12,12,-46.7009942,-23.5721786,2015-01-05,De 16:29 a 18:26,17:00,17:59,17,0,17,59
13,13,-46.7009942,-23.5721786,2015-01-05,De 16:29 a 18:26,18:00,18:26,18,0,18,26
14,14,-46.4907206,-23.581955,2015-01-05,De 15:51 a 18:36,15:51,15:59,15,51,15,59
15,15,-46.4907206,-23.581955,2015-01-05,De 15:51 a 18:36,16:00,16:59,16,0,16,59
16,16,-46.4907206,-23.581955,2015-01-05,De 15:51 a 18:36,17:00,17:59,17,0,17,59
17,17,-46.4907206,-23.581955,2015-01-05,De 15:51 a 18:36,18:00,18:36,18,0,18,36
18,18,-46.4494444,-23.5409715,2015-01-05,De 15:46 a 16:04,15:46,15:59,15,46,15,59
19,19,-46.4494444,-23.5409715,2015-01-05,De 15:46 a 16:04,16:00,16:04,16,0,16,4
20,20,-46.725465,-23.6524014,2015-01-05,De 16:11 a 18:27,16:11,16:59,16,11,16,59
21,21,-46.725465,-23.6524014,2015-01-05,De 16:11 a 18:27,17:00,17:59,17,0,17,59
22,22,-46.725465,-23.6524014,2015-01-05,De 16:11 a 18:27,18:00,18:27,18,0,18,27
23,23,-46.7253607,-23.6462723,2015-01-05,De 16:09 a 18:26,16:09,16:59,16,9,16,59
24,24,-46.7253607,-23.6462723,2015-01-05,De 16:09 a 18:26,17:00,17:59,17,0,17,59
25,25,-46.7253607,-23.6462723,2015-01-05,De 16:09 a 18:26,18:00,18:26,18,0,18,26
26,26,-46.7040693,-23.659564000000003,2015-01-05,De 16:25 a 19:09,16:25,16:59,16,25,16,59
27,27,-46.7040693,-23.659564000000003,2015-01-05,De 16:25 a 19:09,17:00,17:59,17,0,17,59
28,28,-46.7040693,-23.659564000000003,2015-01-05,De 16:25 a 19:09,18:00,18:59,18,0,18,59
29,29,-46.7040693,-23.659564000000003,2015-01-05,De 16:25 a 19:09,19:00,19:09,19,0,19,9
30,30,-46.65127879999999,-23.599446,2015-01-05,De 15:36 a 15:45,15:36,15:45,15,36,15,45
31,31,-46.72677589999999,-23.6656675,2015-01-06,De 18:25 a 19:47,18:25,18:59,18,25,18,59
32,32,-46.72677589999999,-23.6656675,2015-01-06,De 18:25 a 19:47,19:00,19:47,19,0,19,47
33,33,-46.72525870000001,-23.6674064,2015-01-06,De 19:39 a 23:59,19:39,19:59,19,39,19,59
34,34,-46.72525870000001,-23.6674064,2015-01-06,De 19:39 a 23:59,20:00,20:59,20,0,20,59
35,35,-46.72525870000001,-23.6674064,2015-01-06,De 19:39 a 23:59,21:00,21:59,21,0,21,59
36,36,-46.72525870000001,-23.6674064,2015-01-06,De 19:39 a 23:59,22:00,22:59,22,0,22,59
37,37,-46.72525870000001,-23.6674064,2015-01-06,De 19:39 a 23:59,23:00,23:59,23,0,23,59
38,38,-46.6989804,-23.6755773,2015-01-06,De 17:22 a 19:42,17:22,17:59,17,22,17,59
39,39,-46.6989804,-23.6755773,2015-01-06,De 17:22 a 19:42,18:00,18:59,18,0,18,59
40,40,-46.6989804,-23.6755773,2015-01-06,De 17:22 a 19:42,19:00,19:42,19,0,19,42
41,41,-46.691945,-23.6841075,2015-01-06,De 17:25 a 19:42,17:25,17:59,17,25,17,59
42,42,-46.691945,-23.6841075,2015-01-06,De 17:25 a 19:42,18:00,18:59,18,0,18,59
43,43,-46.691945,-23.6841075,2015-01-06,De 17:25 a 19:42,19:00,19:42,19,0,19,42
44,44,-46.6973162,-23.6077583,2015-01-06,De 17:26 a 18:46,17:26,17:59,17,26,17,59
45,45,-46.6973162,-23.6077583,2015-01-06,De 17:26 a 18:46,18:00,18:46,18,0,18,46
46,46,-46.7010161,-23.673164,2015-01-06,De 17:36 a 17:58,17:36,17:58,17,36,17,58
47,47,-46.7048098,-23.6604082,2015-01-06,De 17:44 a 20:01,17:44,17:59,17,44,17,59
48,48,-46.7048098,-23.6604082,2015-01-06,De 17:44 a 20:01,18:00,18:59,18,0,18,59
49,49,-46.7048098,-23.6604082,2015-01-06,De 17:44 a 20:01,19:00,19:59,19,0,19,59
50,50,-46.7048098,-23.6604082,2015-01-06,De 17:44 a 20:01,20:00,20:01,20,0,20,1
51,51,-46.6846383,-23.5039206,2015-01-07,De 17:15 a 18:00,17:15,17:59,17,15,17,59
52,52,-46.6846383,-23.5039206,2015-01-07,De 17:15 a 18:00,18:00,18:00,18,0,18,0
53,53,-46.6846383,-23.5039206,2015-01-07,De 20:28 a 21:08,20:28,20:59,20,28,20,59
54,54,-46.6846383,-23.5039206,2015-01-07,De 20:28 a 21:08,21:00,21:08,21,0,21,8
55,55,-46.63330939999999,-23.5505199,2015-01-07,De 21:14 a 22:24,21:14,21:59,21,14,21,59
56,56,-46.63330939999999,-23.5505199,2015-01-07,De 21:14 a 22:24,22:00,22:24,22,0,22,24
57,57,-46.6580219,-23.5617929,2015-01-07,De 18:55 a 20:10,18:55,18:59,18,55,18,59
58,58,-46.6580219,-23.5617929,2015-01-07,De 18:55 a 20:10,19:00,19:59,19,0,19,59
59,59,-46.6580219,-23.5617929,2015-01-07,De 18:55 a 20:10,20:00,20:10,20,0,20,10
60,60,-46.4484711,-23.5366413,2015-01-07,De 18:15 a 19:00,18:15,18:59,18,15,18,59
61,61,-46.4484711,-23.5366413,2015-01-07,De 18:15 a 19:00,19:00,19:00,19,0,19,0
62,62,-46.4625835,-23.5433434,2015-01-07,De 18:40 a 22:53,18:40,18:59,18,40,18,59
63,63,-46.4625835,-23.5433434,2015-01-07,De 18:40 a 22:53,19:00,19:59,19,0,19,59
64,64,-46.4625835,-23.5433434,2015-01-07,De 18:40 a 22:53,20:00,20:59,20,0,20,59
65,65,-46.4625835,-23.5433434,2015-01-07,De 18:40 a 22:53,21:00,21:59,21,0,21,59
66,66,-46.4625835,-23.5433434,2015-01-07,De 18:40 a 22:53,22:00,22:53,22,0,22,53
67,67,-46.587157,-23.5431983,2015-01-07,De 16:53 a 18:27,16:53,16:59,16,53,16,59
68,68,-46.587157,-23.5431983,2015-01-07,De 16:53 a 18:27,17:00,17:59,17,0,17,59
69,69,-46.587157,-23.5431983,2015-01-07,De 16:53 a 18:27,18:00,18:27,18,0,18,27
70,70,-46.62476289999999,-23.53409580000001,2015-01-07,De 21:22 a 23:59,21:22,21:59,21,22,21,59
71,71,-46.62476289999999,-23.53409580000001,2015-01-07,De 21:22 a 23:59,22:00,22:59,22,0,22,59
72,72,-46.62476289999999,-23.53409580000001,2015-01-07,De 21:22 a 23:59,23:00,23:59,23,0,23,59
73,73,-46.587157,-23.5431983,2015-01-07,De 21:49 a 23:59,21:49,21:59,21,49,21,59
74,74,-46.587157,-23.5431983,2015-01-07,De 21:49 a 23:59,22:00,22:59,22,0,22,59
75,75,-46.587157,-23.5431983,2015-01-07,De 21:49 a 23:59,23:00,23:59,23,0,23,59
76,76,-46.6251826,-23.5193621,2015-01-07,De 22:26 a 23:59,22:26,22:59,22,26,22,59
77,77,-46.6251826,-23.5193621,2015-01-07,De 22:26 a 23:59,23:00,23:59,23,0,23,59
78,78,-46.64946399999999,-23.5179509,2015-01-07,De 22:31 a 23:59,22:31,22:59,22,31,22,59
79,79,-46.64946399999999,-23.5179509,2015-01-07,De 22:31 a 23:59,23:00,23:59,23,0,23,59
80,80,-46.64946399999999,-23.5179509,2015-01-07,De 22:37 a 23:59,22:37,22:59,22,37,22,59
81,81,-46.64946399999999,-23.5179509,2015-01-07,De 22:37 a 23:59,23:00,23:59,23,0,23,59
82,82,-46.453903,-23.5332428,2015-01-07,De 18:18 a 20:37,18:18,18:59,18,18,18,59
83,83,-46.453903,-23.5332428,2015-01-07,De 18:18 a 20:37,19:00,19:59,19,0,19,59
84,84,-46.453903,-23.5332428,2015-01-07,De 18:18 a 20:37,20:00,20:37,20,0,20,37
85,85,-46.52890170000001,-23.5146443,2015-01-07,De 18:23 a 20:09,18:23,18:59,18,23,18,59
86,86,-46.52890170000001,-23.5146443,2015-01-07,De 18:23 a 20:09,19:00,19:59,19,0,19,59
87,87,-46.52890170000001,-23.5146443,2015-01-07,De 18:23 a 20:09,20:00,20:09,20,0,20,9
88,88,-46.53032049999999,-23.5148306,2015-01-07,De 18:30 a 19:50,18:30,18:59,18,30,18,59
89,89,-46.53032049999999,-23.5148306,2015-01-07,De 18:30 a 19:50,19:00,19:50,19,0,19,50
90,90,-46.7484579,-23.4042104,2015-01-07,De 22:37 a 23:59,22:37,22:59,22,37,22,59
91,91,-46.7484579,-23.4042104,2015-01-07,De 22:37 a 23:59,23:00,23:59,23,0,23,59
92,92,-46.4494444,-23.5409715,2015-01-07,De 22:32 a 23:59,22:32,22:59,22,32,22,59
93,93,-46.4494444,-23.5409715,2015-01-07,De 22:32 a 23:59,23:00,23:59,23,0,23,59
94,94,-46.62013889999999,-23.5904137,2015-01-07,De 21:09 a 22:13,21:09,21:59,21,9,21,59
95,95,-46.62013889999999,-23.5904137,2015-01-07,De 21:09 a 22:13,22:00,22:13,22,0,22,13
96,96,-46.6846383,-23.5039206,2015-01-08,De 19:07 a 19:25,19:07,19:25,19,7,19,25
97,97,-46.6244208,-23.5287445,2015-01-08,De 18:50 a 23:59,18:50,18:59,18,50,18,59
