,longitude,latitude,dist_flood,dist_flood_lim
0,-46.5423531,-23.540056,765.7607,765.7607
1,-46.6645563,-23.5227794,967.6681,967.6681
2,-46.62466970000001,-23.5041705,623.2273,623.2273
3,-46.62772890000001,-23.6193201,922.3399,922.3399
4,-46.52483460000001,-23.531798,765.0802,765.0802
5,-46.6842815,-23.5809996,717.0209,717.0209
6,-46.70110469999999,-23.5708383,1033.2461,1033.2461
7,-46.6304873,-23.5396512,1123.1477,1123.1477
8,-46.7402334,-23.5272478,839.6424,839.6424
9,-46.67193839999999,-23.6123869,712.9503,712.9503
10,-46.6794248,-23.66234630000001,755.8916,755.8916
11,-46.6951744,-23.5864206,909.6649,909.6649
12,-46.4542343,-23.4924315,854.4002,854.4002
13,-46.49085909999999,-23.5359313,831.0948,831.0948
14,-46.6515167,-23.5179567,1086.9733,1086.9733
15,-46.4801993,-23.6234596,821.7033,821.7033
16,-46.4558687,-23.5148784,790.7296,790.7296
17,-46.73038469999999,-23.5442197,1008.8379,1008.8379
18,-46.5864655,-23.584403,834.2013,834.2013
19,-46.5590254,-23.5550741,830.7531,830.7531
20,-46.6995047,-23.7102956,807.6055,807.6055
21,-46.644679,-23.546205,731.7883,731.7883
22,-46.5556419,-23.509208800000003,757.0676,757.0676
23,-46.58579779999999,-23.5360337,761.4789,761.4789
24,-46.5184131,-23.5134939,864.4912,864.4912
25,-46.56287860000001,-23.5824676,762.6404,762.6404
26,-46.6369973,-23.5249548,752.2525,752.2525
27,-46.69027929999999,-23.6826905,703.0918,703.0918
28,-46.60135229999999,-23.5500133,742.0386,742.0386
29,-46.64961270000001,-23.5553996,716.9121,716.9121
30,-46.74264789999999,-23.6722242,742.3545,742.3545
31,-46.7076636,-23.5764224,723.8908,723.8908
32,-46.681624600000006,-23.4864975,668.5818,668.5818
33,-46.393935,-23.581351,778.2884,778.2884
34,-46.4583174,-23.5390303,1067.8197,1067.8197
35,-46.5678866,-23.5388384,642.0538,642.0538
36,-46.6535395,-23.6008582,683.6565,683.6565
37,-46.6285706,-23.5231852,971.0017,971.0017
38,-46.6600584,-23.6181414,792.6468,792.6468
39,-46.67454650000001,-23.4592525,690.2446,690.2446
40,-46.6296005,-23.5568285,703.2805,703.2805
41,-46.6826885,-23.5041268,723.6131,723.6131
42,-46.72113119999999,-23.6399093,652.4512,652.4512
43,-46.7151843,-23.6318945,498.8946,498.8946
44,-46.7226826,-23.5851539,590.3539,590.3539
