,index,latitude,longitude,counts,cluster
1167,1167,-23.5414483,-46.5351209,10,0
250,250,-23.5391505,-46.5425747,2,0
1168,1168,-23.5334552,-46.5402114,10,0
1278,1278,-23.540056,-46.5423531,16,0
1111,1111,-23.5420639,-46.5353311,8,0
610,610,-23.5413216,-46.5449017,3,0
1323,1323,-23.5213704,-46.6682634,24,1
644,644,-23.5202331,-46.6671391,3,1
221,221,-23.520377,-46.6614292,2,1
111,111,-23.5221668,-46.6615044,1,1
1116,1116,-23.5221478,-46.663137,8,1
43,43,-23.5286098,-46.6610124,1,1
1125,1125,-23.5260752,-46.67210499999999,8,1
867,867,-23.5299169,-46.6672647,5,1
359,359,-23.5227794,-46.6645563,2,1
345,345,-23.5267385,-46.67300849999999,2,1
1331,1331,-23.52229010000001,-46.6612742,24,1
752,752,-23.5283516,-46.670834,4,1
768,768,-23.5278403,-46.6710253,4,1
349,349,-23.5230634,-46.6632997,2,1
1254,1254,-23.5216144,-46.66750039999999,14,1
901,901,-23.5275631,-46.6648039,5,1
1020,1020,-23.5215432,-46.6669695,7,1
119,119,-23.5211082,-46.6673455,1,1
304,304,-23.5280425,-46.66796970000001,2,1
294,294,-23.5281718,-46.6619021,2,1
218,218,-23.5215365,-46.6660485,2,1
398,398,-23.5039307,-46.6224815,2,2
1108,1108,-23.5037066,-46.6201777,8,2
1343,1343,-23.5023683,-46.630457,25,2
1317,1317,-23.5041705,-46.62466970000001,22,2
476,476,-23.506334,-46.6262694,2,2
28,28,-23.5084139,-46.6240031,1,2
1303,1303,-23.5043371,-46.6211461,20,2
61,61,-23.5027572,-46.630545,1,2
1416,1416,-23.5045312,-46.6208513,78,2
1240,1240,-23.5041645,-46.62041729999999,13,2
447,447,-23.6194146,-46.6275104,2,3
1385,1385,-23.6253758,-46.6287942,36,3
1024,1024,-23.6224124,-46.6282342,7,3
1394,1394,-23.620556,-46.62777910000001,40,3
843,843,-23.611042,-46.6283031,4,3
973,973,-23.6206816,-46.627792,6,3
1133,1133,-23.6190603,-46.6280469,8,3
1296,1296,-23.6159624,-46.62736629999999,19,3
1273,1273,-23.6127902,-46.6276992,15,3
474,474,-23.6198203,-46.627044,2,3
1285,1285,-23.6193201,-46.62772890000001,17,3
1200,1200,-23.62651210000001,-46.6294583,11,3
706,706,-23.6198179,-46.62680839999999,3,3
479,479,-23.621132,-46.627691,2,3
1067,1067,-23.532303,-46.5289009,7,4
335,335,-23.531798,-46.52483460000001,2,4
209,209,-23.5301024,-46.528896,1,4
1250,1250,-23.5322419,-46.52894089999999,13,4
1327,1327,-23.536091100000004,-46.51896989999999,24,4
327,327,-23.5313449,-46.5192657,2,4
297,297,-23.533187,-46.520499,2,4
318,318,-23.5322987,-46.5291614,2,4
636,636,-23.53195310000001,-46.5261653,3,4
256,256,-23.5832055,-46.68635769999999,2,5
282,282,-23.5809996,-46.6842815,2,5
683,683,-23.5830472,-46.6863545,3,5
687,687,-23.5828983,-46.6860975,3,5
1221,1221,-23.5748782,-46.68206970000001,12,5
689,689,-23.582559600000003,-46.6856942,3,5
998,998,-23.5802573,-46.6834092,6,5
1025,1025,-23.5714639,-46.6989907,7,6
1390,1390,-23.5712427,-46.69910460000001,38,6
225,225,-23.5732319,-46.6984935,2,6
1402,1402,-23.5725782,-46.7045018,51,6
890,890,-23.5620575,-46.7044215,5,6
1266,1266,-23.572807,-46.70226780000001,15,6
1131,1131,-23.5724408,-46.70516869999999,8,6
134,134,-23.572184,-46.7010993,1,6
131,131,-23.572437,-46.70416710000001,1,6
354,354,-23.5664902,-46.7032336,2,6
357,357,-23.5678295,-46.6979814,2,6
657,657,-23.5715317,-46.7022495,3,6
655,655,-23.5715618,-46.6983621,3,6
230,230,-23.572613600000004,-46.7045413,2,6
1171,1171,-23.5651888,-46.70094650000001,10,6
869,869,-23.5708383,-46.70110469999999,5,6
124,124,-23.573301,-46.6983924,1,6
1192,1192,-23.5718525,-46.6975258,11,6
859,859,-23.5694294,-46.7013964,4,6
1048,1048,-23.572032,-46.6998123,7,6
656,656,-23.5715512,-46.696141,3,6
1021,1021,-23.5715162,-46.6957335,7,6
235,235,-23.572376,-46.70538060000001,2,6
1312,1312,-23.5721786,-46.7009942,22,6
1411,1411,-23.565481100000003,-46.7023067,67,6
132,132,-23.5723312,-46.6986407,1,6
630,630,-23.5378848,-46.6347126,3,7
578,578,-23.5421063,-46.6275041,3,7
187,187,-23.5395364,-46.630999,1,7
999,999,-23.5357787,-46.6339497,6,7
213,213,-23.5426083,-46.6290212,1,7
1360,1360,-23.53409580000001,-46.62476289999999,28,7
157,157,-23.5347613,-46.6256236,1,7
338,338,-23.53196010000001,-46.6262138,2,7
1291,1291,-23.5396645,-46.63407520000001,19,7
609,609,-23.5357093,-46.6254934,3,7
299,299,-23.5337827,-46.6266982,2,7
1307,1307,-23.5448374,-46.6263162,21,7
141,141,-23.5388262,-46.6288375,1,7
1400,1400,-23.5360024,-46.6339584,48,7
1309,1309,-23.5427039,-46.6268799,21,7
346,346,-23.5363828,-46.6339244,2,7
1377,1377,-23.5413011,-46.6284717,33,7
587,587,-23.5419823,-46.63221470000001,3,7
934,934,-23.5373637,-46.6333589,5,7
1210,1210,-23.5449286,-46.6359339,11,7
1261,1261,-23.53712860000001,-46.63421829999999,14,7
1248,1248,-23.5396295,-46.6272802,13,7
363,363,-23.5421391,-46.6354864,2,7
236,236,-23.5413119,-46.6269519,2,7
958,958,-23.5395816,-46.632063,6,7
199,199,-23.5396512,-46.6304873,1,7
188,188,-23.5392576,-46.62776229999999,1,7
0,0,-23.5395064,-46.62912120000001,1,7
593,593,-23.5378617,-46.6345956,3,7
956,956,-23.539224,-46.627824,6,7
941,941,-23.539384,-46.6350407,5,7
231,231,-23.5372298,-46.6281626,2,7
1237,1237,-23.539254100000004,-46.62754899999999,12,7
165,165,-23.5383793,-46.6272903,1,7
285,285,-23.540069,-46.62801200000001,2,7
1421,1421,-23.5393867,-46.6328914,92,7
1275,1275,-23.5378581,-46.6338933,16,7
818,818,-23.5438989,-46.6327976,4,7
323,323,-23.529598,-46.6315546,2,7
1084,1084,-23.5399147,-46.63072529999999,7,7
296,296,-23.5323166,-46.6326799,2,7
919,919,-23.5364533,-46.6264669,5,7
913,913,-23.538148,-46.63312970000001,5,7
1398,1398,-23.5404284,-46.6295011,46,7
789,789,-23.5364731,-46.62647570000001,4,7
358,358,-23.536623100000003,-46.6340698,2,7
302,302,-23.53498,-46.6261127,2,7
1233,1233,-23.5450933,-46.6367485,12,7
1244,1244,-23.5272478,-46.7402334,13,8
1056,1056,-23.5270699,-46.7409553,7,8
905,905,-23.5292394,-46.73712070000001,5,8
40,40,-23.5293222,-46.73850820000001,1,8
1334,1334,-23.5203784,-46.7368139,25,8
1297,1297,-23.5292957,-46.740747,19,8
887,887,-23.5242255,-46.7423395,5,8
886,886,-23.5240806,-46.7434674,5,8
735,735,-23.6120494,-46.6776531,3,9
987,987,-23.6123869,-46.67193839999999,6,9
1180,1180,-23.6138744,-46.6787451,10,9
439,439,-23.608251100000004,-46.6761498,2,9
20,20,-23.6134859,-46.6714101,1,9
496,496,-23.6081559,-46.6763522,2,9
836,836,-23.608409,-46.675497,4,9
409,409,-23.615402,-46.66724010000001,2,9
441,441,-23.6641378,-46.67849529999999,2,10
616,616,-23.6619145,-46.6862788,3,10
402,402,-23.6617663,-46.6868196,2,10
1396,1396,-23.6638686,-46.6785854,41,10
153,153,-23.6653157,-46.6781231,1,10
167,167,-23.66234630000001,-46.6794248,1,10
1104,1104,-23.6652142,-46.6782455,8,10
1357,1357,-23.6615042,-46.67939970000001,27,10
1423,1423,-23.5881265,-46.6905352,101,11
1027,1027,-23.585104,-46.69074129999999,7,11
1103,1103,-23.5865422,-46.69518400000001,8,11
396,396,-23.5857363,-46.6983464,2,11
937,937,-23.58671660000001,-46.6915577,5,11
1324,1324,-23.5898417,-46.6930118,24,11
1032,1032,-23.58633,-46.69631,7,11
1046,1046,-23.5869911,-46.68963730000001,7,11
676,676,-23.5842001,-46.6908955,3,11
828,828,-23.5782668,-46.69444960000001,4,11
1231,1231,-23.5860931,-46.6977309,12,11
493,493,-23.5858149,-46.6889648,2,11
804,804,-23.5804918,-46.6931583,4,11
531,531,-23.5867134,-46.6936101,2,11
529,529,-23.5866554,-46.69146660000001,2,11
278,278,-23.5788782,-46.6941078,2,11
863,863,-23.583064,-46.69962599999999,5,11
520,520,-23.5860954,-46.696324,2,11
83,83,-23.5904283,-46.6912605,1,11
672,672,-23.5860815,-46.6968549,3,11
1347,1347,-23.5864206,-46.6951744,25,11
680,680,-23.5866564,-46.6986415,3,11
1011,1011,-23.5832788,-46.6991355,6,11
1063,1063,-23.4929526,-46.4530079,7,12
467,467,-23.4983286,-46.4569058,2,12
600,600,-23.4886125,-46.4573184,3,12
147,147,-23.4851993,-46.45706420000001,1,12
192,192,-23.4924315,-46.4542343,1,12
1135,1135,-23.492143,-46.4528542,8,12
307,307,-23.5355282,-46.4939303,2,13
984,984,-23.5359313,-46.49085909999999,6,13
756,756,-23.5285662,-46.4894712,4,13
85,85,-23.5144782,-46.65128379999999,1,14
1113,1113,-23.522032,-46.655503,8,14
881,881,-23.5230904,-46.6554938,5,14
700,700,-23.5184529,-46.6479558,3,14
1145,1145,-23.51377380000001,-46.6534336,9,14
1050,1050,-23.5179567,-46.6515167,7,14
696,696,-23.51774,-46.65411,3,14
904,904,-23.5189326,-46.6547652,5,14
224,224,-23.5207741,-46.655603,2,14
1124,1124,-23.5157781,-46.650173,8,14
643,643,-23.5137188,-46.6504947,3,14
93,93,-23.5194673,-46.65257829999999,1,14
787,787,-23.5142626,-46.65375039999999,4,14
964,964,-23.5208485,-46.6481897,6,14
281,281,-23.5183607,-46.6483146,2,14
664,664,-23.5229582,-46.6505277,3,14
26,26,-23.508185,-46.651224,1,14
364,364,-23.5224357,-46.64926810000001,2,14
1290,1290,-23.5191146,-46.6532224,18,14
290,290,-23.5218155,-46.6479229,2,14
673,673,-23.5155073,-46.6496018,3,14
1432,1432,-23.5179509,-46.64946399999999,573,14
104,104,-23.5129232,-46.6528809,1,14
952,952,-23.5231498,-46.6528672,6,14
