,latitude,longitude,counts
798,-23.5395064,-46.62912120000001,1
206,-23.6232908,-46.69954310000001,1
208,-23.6227181,-46.6968956,1
1282,-23.5058508,-46.4567463,1
1281,-23.5059642,-46.67588079999999,1
1002,-23.5261506,-46.6854196,1
1004,-23.5259521,-46.62560070000001,1
575,-23.5574174,-46.6002234,1
1007,-23.5257366,-46.70306129999999,1
227,-23.6191934,-46.6823034,1
1276,-23.506777300000003,-46.6024208,1
230,-23.6189716,-46.6761361,1
561,-23.560900600000004,-46.61268629999999,1
236,-23.6180602,-46.7514001,1
1016,-23.5251783,-46.6361243,1
987,-23.5269465,-46.6824744,1
1017,-23.52517730000001,-46.71018369999999,1
1022,-23.524796,-46.7030237,1
1025,-23.5243586,-46.4276863,1
543,-23.56402210000001,-46.5491355,1
247,-23.6134859,-46.6714101,1
248,-23.6133909,-46.6983976,1
1262,-23.507997600000003,-46.7339294,1
1034,-23.5237633,-46.4750698,1
254,-23.6118412,-46.65641859999999,1
255,-23.6117463,-46.58101729999999,1
1260,-23.508185,-46.651224,1
258,-23.61115280000001,-46.75300429999999,1
1258,-23.5084139,-46.6240031,1
262,-23.6109081,-46.60675620000001,1
1251,-23.5088034,-46.5995344,1
554,-23.562252,-46.6560876,1
597,-23.5556451,-46.6489311,1
598,-23.5556266,-46.64916210000001,1
400,-23.585393300000003,-46.6181717,1
651,-23.5497557,-46.52471370000001,1
145,-23.64470750000001,-46.7243115,1
1340,-23.4949174,-46.4114416,1
150,-23.64261650000001,-46.6995315,1
151,-23.6415722,-46.715951200000006,1
952,-23.5293222,-46.73850820000001,1
639,-23.5504512,-46.5354164,1
1333,-23.4987425,-46.6123622,1
960,-23.5286098,-46.6610124,1
162,-23.6376664,-46.67746959999999,1
163,-23.636381,-46.7152266,1
633,-23.550572100000004,-46.64804119999999,1
1327,-23.5010073,-46.6141119,1
629,-23.5510883,-46.578305,1
963,-23.52837,-46.59752,1
1326,-23.501571,-46.6942421,1
621,-23.5522476,-46.6217462,1
978,-23.5273809,-46.62558,1
1305,-23.5038223,-46.68456610000001,1
194,-23.6254463,-46.6888139,1
1307,-23.5035404,-46.6846004,1
190,-23.62602110000001,-46.6886941,1
609,-23.5541362,-46.7184776,1
527,-23.567708,-46.6490653,1
968,-23.5281519,-46.6248997,1
1313,-23.5030347,-46.6845518,1
1315,-23.5027572,-46.630545,1
1317,-23.5026122,-46.7109727,1
181,-23.6279559,-46.76727020000001,1
619,-23.5523718,-46.6369508,1
620,-23.5523344,-46.6097831,1
1312,-23.50318110000001,-46.6847494,1
525,-23.5679585,-46.6465188,1
519,-23.5686275,-46.68570820000001,1
1242,-23.509208800000003,-46.5556419,1
1107,-23.519319,-46.7011048,1
334,-23.5956701,-46.6907813,1
462,-23.577283,-46.62883300000001,1
336,-23.5954272,-46.5378422,1
1112,-23.5189848,-46.5124106,1
1194,-23.5139138,-46.6239616,1
1191,-23.5139854,-46.4566487,1
1117,-23.5188247,-46.6754336,1
344,-23.591603,-46.7309946,1
346,-23.5913425,-46.620676,1
1119,-23.51872950000001,-46.674085700000006,1
349,-23.5910277,-46.6208019,1
352,-23.590728100000003,-46.7034062,1
353,-23.5904283,-46.6912605,1
1185,-23.5143783,-46.6368984,1
1183,-23.5144782,-46.65128379999999,1
444,-23.5813836,-46.4920896,1
403,-23.5849987,-46.5805906,1
404,-23.5849256,-46.5808679,1
1146,-23.5163068,-46.6136394,1
1164,-23.515346,-46.620318,1
1145,-23.51635060000001,-46.7256629,1
1168,-23.5152016,-46.4763893,1
1104,-23.5194673,-46.65257829999999,1
377,-23.58753380000001,-46.7230018,1
373,-23.5880455,-46.595779,1
