,latitude,longitude,umidade
0,-23.8282027,-46.7270925,115.0
1,-23.7931135,-46.72920360000001,353.0
2,-23.7685129,-46.7174347,1045.0
3,-23.7664337,-46.7175583,190.0
4,-23.75503,-46.67607839999999,364.0
5,-23.7550249,-46.6753848,512.0
6,-23.7500595,-46.6880682,264.0
7,-23.7496214,-46.7532498,174.0
8,-23.74646730000001,-46.6848225,178.0
9,-23.7360009,-46.6947123,346.0
10,-23.7345288,-46.7958352,175.0
11,-23.7343857,-46.79610510000001,181.0
12,-23.7243301,-46.69990960000001,463.0
13,-23.7222764,-46.78527310000001,147.0
14,-23.7142369,-46.7079048,276.0
15,-23.7141272,-46.70803950000001,258.0
16,-23.7124302,-46.7100777,182.0
17,-23.7102956,-46.6995047,83.0
18,-23.7069271,-46.71303010000001,699.0
19,-23.703722,-46.7145847,539.0
20,-23.703218,-46.7012854,81.0
21,-23.7030879,-46.7146618,204.0
22,-23.6994825,-46.7152803,209.0
23,-23.6988927,-46.7559164,670.0
24,-23.6972571,-46.6734805,215.0
25,-23.6928288,-46.6772609,229.0
26,-23.690509,-46.675111,221.0
27,-23.6898831,-46.71481139999999,356.0
28,-23.688098,-46.7144513,81.0
29,-23.6856812,-46.6802674,131.0
30,-23.6841075,-46.691945,7597.0
31,-23.6828019,-46.69041710000001,75.0
32,-23.6826905,-46.69027929999999,136.0
33,-23.6814862,-46.69453490000001,168.0
34,-23.6810197,-46.6381862,428.0
35,-23.6805291,-46.7063454,897.0
36,-23.679213,-46.71244129999999,209.0
37,-23.6789861,-46.7127107,164.0
38,-23.6786374,-46.6507714,564.0
39,-23.6785963,-46.6850177,4514.0
40,-23.6782992,-46.698417600000006,236.0
41,-23.6765104,-46.6767267,225.0
42,-23.6757762,-46.698435,1727.0
43,-23.6756933,-46.7488761,304.0
44,-23.6755773,-46.6989804,2051.0
45,-23.6748449,-46.7326101,158.0
46,-23.6741462,-46.7001485,90.0
47,-23.673164,-46.7010161,768.0
48,-23.6730741,-46.6770339,129.0
49,-23.6726992,-46.7122024,209.0
50,-23.6722652,-46.7420503,260.0
51,-23.6722242,-46.74264789999999,252.0
52,-23.6721371,-46.6985305,792.0
53,-23.672131,-46.7416845,76.0
54,-23.6718682,-46.74204080000001,263.0
55,-23.6716305,-46.7419936,183.0
56,-23.6714244,-46.740913600000006,555.0
57,-23.6691958,-46.71203920000001,210.0
58,-23.667774,-46.7304673,73.0
59,-23.6674064,-46.72525870000001,1540.0
60,-23.6673076,-46.7056364,765.0
61,-23.6671555,-46.72727889999999,1045.0
62,-23.6669676,-46.7740371,223.0
63,-23.6669625,-46.7727005,474.0
64,-23.6666865,-46.7225258,183.0
65,-23.6666279,-46.7715139,178.0
66,-23.6663914,-46.771511,240.0
67,-23.6663838,-46.718256,72.0
68,-23.6659612,-46.7229202,105.0
69,-23.6659471,-46.72715909999999,468.0
70,-23.6658875,-46.7130319,199.0
71,-23.6656675,-46.72677589999999,136.0
72,-23.6655587,-46.7270189,319.0
73,-23.6653914,-46.718691,89.0
74,-23.6653706,-46.72708770000001,834.0
75,-23.6653157,-46.6781231,46.0
76,-23.6652142,-46.6782455,614.0
77,-23.665071,-46.721661,148.0
78,-23.6650434,-46.72156079999999,519.0
79,-23.6650099,-46.7103192,243.0
80,-23.6641378,-46.67849529999999,175.0
81,-23.664009,-46.7080073,73.0
82,-23.6638785,-46.70995960000001,89.0
83,-23.6638686,-46.6785854,3096.0
84,-23.6638325,-46.7291745,1641.0
85,-23.6633313,-46.707879,140.0
86,-23.663223100000003,-46.70774489999999,423.0
87,-23.6631171,-46.7076066,841.0
88,-23.6625879,-46.706701,73.0
89,-23.6623653,-46.7068638,270.0
90,-23.66234630000001,-46.6794248,93.0
91,-23.662256,-46.706246,73.0
92,-23.6621868,-46.70707270000001,853.0
93,-23.6621072,-46.7068928,178.0
94,-23.6619281,-46.7065908,440.0
95,-23.6619145,-46.6862788,226.0
96,-23.6618529,-46.7063713,1739.0
97,-23.6617663,-46.6868196,175.0
98,-23.6615042,-46.67939970000001,2064.0
99,-23.6606505,-46.7047882,133.0
100,-23.6604082,-46.7048098,1068.0
101,-23.6603743,-46.7021464,88.0
102,-23.6600915,-46.70253169999999,350.0
103,-23.6599045,-46.7117099,761.0
104,-23.6598058,-46.7045241,161.0
105,-23.6595769,-46.7109345,502.0
106,-23.659564000000003,-46.7040693,1536.0
107,-23.6593753,-46.71051689999999,146.0
108,-23.658568,-46.7674511,335.0
109,-23.6584958,-46.70921449999999,1040.0
110,-23.6582469,-46.70896679999999,760.0
111,-23.6581077,-46.7088384,166.0
112,-23.6561976,-46.7075767,393.0
113,-23.6557008,-46.7190665,156.0
114,-23.6551559,-46.7244021,156.0
115,-23.6539771,-46.7088668,168.0
116,-23.6539123,-46.7245974,643.0
117,-23.6537565,-46.720741,1392.0
118,-23.6531866,-46.719877,322.0
119,-23.6527442,-46.7250433,175.0
120,-23.6527317,-46.7250646,47.0
121,-23.6526767,-46.71899310000001,446.0
122,-23.6526643,-46.72607070000001,71.0
123,-23.6524014,-46.725465,739.0
124,-23.6522565,-46.72287070000001,493.0
125,-23.6522351,-46.7126679,1745.0
126,-23.6512557,-46.7570141,88.0
127,-23.6510867,-46.7218284,280.0
128,-23.6507545,-46.67088620000001,281.0
129,-23.649073,-46.73221179999999,172.0
130,-23.6490513,-46.7525471,223.0
131,-23.6489312,-46.75289160000001,524.0
132,-23.6480024,-46.72750070000001,73.0
133,-23.6465815,-46.7288787,209.0
134,-23.6462723,-46.7253607,3258.0
135,-23.6460115,-46.71018839999999,92.0
136,-23.6459326,-46.7227193,178.0
137,-23.64593,-46.7538224,253.0
138,-23.6457685,-46.7120833,68.0
139,-23.6457192,-46.7302352,178.0
140,-23.6455992,-46.7102195,276.0
141,-23.64558460000001,-46.71028670000001,251.0
142,-23.64555,-46.72993,706.0
143,-23.6447734,-46.7175488,60.0
144,-23.644725,-46.7237915,632.0
145,-23.64470750000001,-46.7243115,90.0
146,-23.644588,-46.724498,515.0
147,-23.6444211,-46.7002144,252.0
148,-23.6435241,-46.73397410000001,129.0
149,-23.6435162,-46.6724991,1941.0
150,-23.64261650000001,-46.6995315,61.0
151,-23.6415722,-46.715951200000006,62.0
152,-23.6415424,-46.7241725,1683.0
153,-23.6413262,-46.78113,131.0
154,-23.6409193,-46.7368533,513.0
155,-23.6399093,-46.72113119999999,451.0
156,-23.6397448,-46.67346939999999,285.0
157,-23.63972080000001,-46.72154159999999,588.0
158,-23.6392794,-46.7220451,634.0
159,-23.63887080000001,-46.7219722,831.0
160,-23.6382072,-46.7408906,642.0
161,-23.6380267,-46.6564988,74.0
162,-23.6376664,-46.67746959999999,88.0
163,-23.636381,-46.7152266,62.0
164,-23.6361811,-46.6774954,178.0
165,-23.6347959,-46.75499019999999,341.0
166,-23.6347297,-46.7275418,453.0
167,-23.632409,-46.7156621,1249.0
168,-23.6324079,-46.715661,186.0
169,-23.6320399,-46.5833676,269.0
170,-23.6318945,-46.7151843,269.0
171,-23.631489,-46.77335009999999,113.0
172,-23.6309097,-46.6176659,247.0
173,-23.6308568,-46.4605088,354.0
174,-23.63051560000001,-46.7141346,2580.8064516129034
175,-23.6300287,-46.7135656,350.0
176,-23.6296987,-46.6844888,157.0
177,-23.628951,-46.6654591,380.0
178,-23.6281321,-46.68856829999999,176.0
179,-23.6280222,-46.685317100000006,274.0
180,-23.628008800000003,-46.687554,506.0
181,-23.6279559,-46.76727020000001,67.0
182,-23.627706,-46.619269,945.0
183,-23.6275491,-46.7113798,917.0
184,-23.6275033,-46.6189908,1000.0
185,-23.6274838,-46.61896760000001,522.0
186,-23.6273246,-46.6565842,513.0
187,-23.62651210000001,-46.6294583,898.0
188,-23.62648410000001,-46.687386,2358.0
189,-23.6264229,-46.6874891,5323.903225806452
190,-23.62602110000001,-46.6886941,89.0
191,-23.6259642,-46.7270102,182.0
192,-23.625818,-46.6886796,134.0
193,-23.6256401,-46.69167590000001,1774.0
194,-23.6254463,-46.6888139,73.0
195,-23.6253758,-46.6287942,2432.0
196,-23.6250996,-46.7075699,592.9677419354839
197,-23.625063,-46.6867172,180.0
198,-23.62467980000001,-46.7645809,147.0
199,-23.6244089,-46.694455100000006,118.0
200,-23.6243312,-46.6950615,330.0
201,-23.6240499,-46.76434329999999,183.0
202,-23.6238787,-46.70996829999999,14447.58064516129
203,-23.623745,-46.6952879,181.0
204,-23.6234596,-46.4801993,214.0
205,-23.6233833,-46.6779026,157.0
206,-23.6232908,-46.69954310000001,88.0
207,-23.6229115,-46.6804626,541.0
208,-23.6227181,-46.6968956,90.0
209,-23.6226045,-46.6994649,256.0
210,-23.62258,-46.472191,288.0
211,-23.6224802,-46.673114700000006,166.0
212,-23.6224124,-46.6282342,561.0
213,-23.6222458,-46.6845278,420.0
214,-23.622013,-46.70117370000001,494.0
215,-23.6216238,-46.6977748,164.0
216,-23.6213812,-46.7008789,1825.0
217,-23.6211685,-46.6984326,358.0
218,-23.621132,-46.627691,159.0
219,-23.6208778,-46.6785864,180.0
220,-23.6206816,-46.627792,514.0
221,-23.620556,-46.62777910000001,3276.0
222,-23.61983810000001,-46.6011657,190.0
223,-23.6198203,-46.627044,156.0
224,-23.6198179,-46.62680839999999,238.0
225,-23.6194146,-46.6275104,178.0
226,-23.6193201,-46.62772890000001,1357.0
227,-23.6191934,-46.6823034,89.0
228,-23.6190603,-46.6280469,636.0
229,-23.6189923,-46.6830422,180.0
230,-23.6189716,-46.6761361,68.0
231,-23.6186381,-46.67618529999999,157.0
232,-23.618208,-46.6605675,240.0
233,-23.6181834,-46.61112979999999,960.0
234,-23.6181633,-46.7009973,1025.0
235,-23.6181414,-46.6600584,156.0
236,-23.6180602,-46.7514001,91.0
237,-23.6177669,-46.7017805,607.0
238,-23.61762,-46.66168620000001,188.0
239,-23.6175205,-46.6617383,608.0
240,-23.6164796,-46.6988139,551.0
241,-23.6159624,-46.62736629999999,1458.0
242,-23.6157655,-46.7020905,167.0
243,-23.615402,-46.66724010000001,174.0
244,-23.6139787,-46.6083995,118.0
245,-23.6138744,-46.6787451,790.0
246,-23.6137961,-46.6956653,159.0
247,-23.6134859,-46.6714101,58.0
248,-23.6133909,-46.6983976,82.0
249,-23.6127902,-46.6276992,1184.0
250,-23.6127701,-46.6988729,3921.5806451612902
251,-23.6123869,-46.67193839999999,474.0
252,-23.612155800000004,-46.6074721,408.0
253,-23.6120494,-46.6776531,241.0
254,-23.6118412,-46.65641859999999,90.0
255,-23.6117463,-46.58101729999999,94.0
256,-23.6115932,-46.7542352,548.0
257,-23.6112691,-46.7533042,270.0
258,-23.61115280000001,-46.75300429999999,78.0
259,-23.6110611,-46.75298520000001,476.0
260,-23.611042,-46.6283031,336.0
261,-23.6109779,-46.5872696,212.0
262,-23.6109081,-46.60675620000001,94.0
263,-23.6108848,-46.752876,1242.0
264,-23.6105957,-46.59758400000001,145.0
265,-23.6103378,-46.6979058,180.0
266,-23.6101067,-46.6637739,174.0
267,-23.6100376,-46.7010528,2109.0
268,-23.6098686,-46.4912986,247.0
269,-23.6094348,-46.6646238,346.0
270,-23.6087562,-46.44294,260.0
271,-23.6084121,-46.6973008,504.0
272,-23.608409,-46.675497,220.0
273,-23.6083217,-46.69768999999999,452.0
274,-23.608251100000004,-46.6761498,159.0
275,-23.6081559,-46.6763522,178.0
