,data,horas,minutos,segundos,temperatura,umidade,temperatura_ponto_orvalho,temperatura_maxima,temperatura_minima,temperatura_maxima_ponto_orvalho,temperatura_minima_ponto_orvalho,umidade_maxima,umidade_minima,vento_velocidade,vento_direcao,precipitacao,vento_rajada_maxima,pressao_atmosferica,pressao_atmosferica_maxima,pressao_atmosferica_minima
0,2015-01-04 00:00:00,00,00,00,22.2,83.0,19.1,22.3,22.2,19.3,19.1,83.0,82.0,0.8,88.0,0.0,3.7,927.6,928.2,927.6
1,2015-01-04 00:00:00,01,00,00,22.2,82.0,18.9,22.3,22.2,19.3,18.9,83.0,82.0,0.8,88.0,0.0,3.7,927.1,927.6,927.1
2,2015-01-04 00:00:00,02,00,00,22.2,82.0,19.0,22.2,22.1,19.0,18.9,82.0,82.0,0.8,88.0,0.0,3.7,926.7,927.1,926.7
3,2015-01-04 00:00:00,03,00,00,21.9,83.0,18.9,22.2,21.9,19.0,18.8,83.0,82.0,0.8,88.0,0.0,3.7,926.3,926.8,926.3
4,2015-01-04 00:00:00,04,00,00,21.7,84.0,18.9,21.9,21.7,19.0,18.8,84.0,83.0,0.8,88.0,0.0,3.7,926.5,926.5,926.1
5,2015-01-04 00:00:00,05,00,00,21.8,84.0,19.0,22.0,21.7,19.2,18.9,85.0,84.0,0.8,88.0,0.0,3.7,927.0,927.0,926.5
6,2015-01-04 00:00:00,06,00,00,21.6,86.0,19.2,21.8,21.5,19.3,19.0,86.0,84.0,0.8,88.0,0.0,3.7,927.5,927.5,927.0
7,2015-01-04 00:00:00,07,00,00,22.3,84.0,19.6,22.3,21.6,19.6,19.2,86.0,84.0,0.8,88.0,0.0,3.7,928.3,928.3,927.5
8,2015-01-04 00:00:00,08,00,00,22.5,82.0,19.4,22.7,22.3,19.6,19.1,84.0,82.0,0.8,88.0,0.0,3.7,929.0,929.0,928.3
9,2015-01-04 00:00:00,09,00,00,23.5,78.0,19.4,23.5,22.5,19.8,18.9,83.0,77.0,0.8,88.0,0.0,3.7,929.1,929.2,929.0
10,2015-01-04 00:00:00,10,00,00,25.1,68.0,18.7,25.7,23.4,19.7,18.1,78.0,65.0,0.8,88.0,0.0,3.7,929.3,929.4,929.1
11,2015-01-04 00:00:00,11,00,00,24.2,70.0,18.4,25.6,24.2,18.8,17.8,70.0,63.0,0.8,88.0,0.0,3.7,928.8,929.3,928.8
12,2015-01-04 00:00:00,12,00,00,26.2,60.0,17.8,26.6,23.9,18.7,17.3,72.0,59.0,0.8,88.0,0.0,3.7,928.3,928.8,928.2
13,2015-01-04 00:00:00,13,00,00,27.2,50.0,15.8,27.3,25.9,18.1,15.7,62.0,50.0,0.8,88.0,0.0,3.7,927.6,928.3,927.6
14,2015-01-04 00:00:00,14,00,00,27.4,49.0,15.6,28.9,26.9,16.6,15.2,51.0,46.0,0.8,88.0,0.0,3.7,927.3,927.6,927.3
15,2015-01-04 00:00:00,15,00,00,26.9,53.0,16.6,27.6,26.6,16.9,14.9,54.0,47.0,0.8,88.0,0.0,3.7,926.9,927.4,926.9
16,2015-01-04 00:00:00,16,00,00,24.8,61.0,16.7,26.9,24.7,16.8,15.6,61.0,51.0,0.8,88.0,0.0,3.7,926.6,927.0,926.6
17,2015-01-04 00:00:00,17,00,00,24.4,60.0,16.2,24.9,24.2,16.8,16.2,62.0,59.0,0.8,88.0,0.0,3.7,926.6,926.7,926.6
18,2015-01-04 00:00:00,18,00,00,24.2,56.0,14.9,24.4,24.1,16.2,14.7,60.0,56.0,0.8,88.0,0.0,3.7,926.5,926.7,926.4
19,2015-01-04 00:00:00,19,00,00,23.9,57.0,14.8,24.4,23.9,15.0,13.8,57.0,52.0,0.8,88.0,0.0,3.7,927.3,927.3,926.5
20,2015-01-04 00:00:00,20,00,00,22.9,66.0,16.4,23.9,22.9,16.4,14.8,66.0,57.0,0.8,88.0,0.0,3.7,928.1,928.1,927.3
21,2015-01-04 00:00:00,21,00,00,22.2,71.0,16.7,22.9,22.2,17.2,16.4,74.0,66.0,0.8,88.0,0.0,3.7,928.2,928.2,927.9
22,2015-01-04 00:00:00,22,00,00,21.8,75.0,17.1,22.2,21.8,17.1,16.7,75.0,71.0,0.8,88.0,0.0,3.7,928.7,928.7,928.2
23,2015-01-04 00:00:00,23,00,00,21.8,76.0,17.4,21.9,21.8,17.4,17.1,76.0,74.0,0.8,88.0,0.0,3.7,928.3,928.7,928.3
24,2015-01-13 00:00:00,00,00,00,22.6,66.0,15.9,23.2,22.6,16.5,15.9,66.0,64.0,2.9,100.0,0.0,4.6,927.4,927.4,927.1
25,2015-01-13 00:00:00,01,00,00,22.2,67.0,15.8,22.6,22.2,16.1,15.8,68.0,66.0,2.9,100.0,0.0,4.6,926.4,927.4,926.4
