,index,id_str,inside_cluster,temperatura,umidade,temperatura_ponto_orvalho,pressao_atmosferica,precipitacao,related,is_alag
0,1807,884725658391158784,0,12.6,82.0,9.6,934.2,0.0,0,0.0
1,5877,1032037611920080896,0,15.9,78.0,12.2,931.9,0.0,0,0.0
2,5316,956950695139270657,0,24.0,63.0,16.4,924.7,0.0,0,0.0
3,3241,978027278197297158,0,27.9,44.0,14.6,924.5,0.0,0,0.0
4,2200,909625479354650624,0,18.3,78.0,14.5,931.5,0.0,0,0.0
5,5416,977657595342209025,0,27.2,49.0,15.7,924.3,0.0,0,0.0
6,1619,864624681697116160,0,16.4,74.0,11.8,928.3,0.0,0,0.0
7,5109,925081817698496512,0,21.7,76.0,17.2,919.5,0.0,0,0.0
8,4890,895829623187148800,0,14.8,72.0,9.9,931.4,0.0,0,0.0
9,265,883864787419004930,0,16.4,72.0,11.4,935.0,0.0,0,0.0
10,5534,1029483401835896832,0,23.0,44.0,10.2,926.5,0.0,0,0.0
11,5650,1044845612250935303,0,18.3,79.0,14.5,925.1,0.0,0,0.0
12,3045,963143277825413121,0,26.5,68.0,20.1,923.1,0.0,0,0.0
13,2608,925338234166632448,0,20.0,70.0,14.5,922.9,0.0,0,0.0
14,4706,870662298821697536,0,18.6,51.0,8.3,930.2,0.0,0,0.0
15,5852,847268360232386561,0,17.7,75.0,13.3,928.0,0.0,0,0.0
16,2751,935950484837421056,1,23.9,47.0,11.9,923.8,0.0,0,0.0
17,4711,871059645636517888,1,21.9,52.0,11.7,928.7,0.0,0,0.0
18,1909,894703266986024961,1,19.1,57.0,10.5,927.3,0.0,0,0.0
19,3032,962151824403943424,1,25.1,44.0,12.0,925.8,0.0,0,0.0
20,4371,810283819521687552,1,20.2,75.0,15.5,929.9,0.0,0,0.0
21,2671,929484848099708928,1,17.0,66.0,10.6,920.9,0.0,0,0.0
22,5731,831844671349481474,1,26.9,53.0,16.6,932.2,0.0,0,0.0
23,4957,903828681331703809,1,15.5,77.0,11.4,935.7,0.0,0,0.0
24,4641,861692380763705344,1,19.4,76.0,15.1,924.4,0.0,0,0.0
25,1048,813823066748887041,1,31.7,40.0,16.2,922.8,0.0,0,0.0
26,4404,816764268888494080,1,27.8,49.0,16.2,923.7,0.0,0,0.0
27,5200,937003909779828738,1,23.9,59.0,15.3,922.9,0.0,0,0.0
28,5256,949062574510755841,1,21.3,51.0,10.7,925.6,0.0,0,0.0
29,4262,801069881160585217,1,24.9,46.0,12.5,924.9,0.0,0,0.0
30,1365,840765081218629632,1,22.7,78.0,18.6,927.4,0.0,0,0.0
31,2447,919153051251781632,1,21.6,80.0,18.0,925.0,0.0,0,0.0
32,3637,1051451453032804353,0,19.1,77.0,14.9,927.2,0.0,1,0.0
33,2844,943878142720073729,0,20.9,85.0,18.2,925.0,2.8,1,0.0
34,4199,887444314346971136,0,8.6,80.0,5.4,934.7,0.0,1,0.0
35,1928,896698719869030400,0,14.3,88.0,12.3,928.2,0.0,1,0.0
36,4078,886540101093916672,0,15.3,57.0,6.8,931.1,0.0,1,0.0
37,3725,815352738649358341,0,26.1,56.0,16.7,925.5,0.0,1,0.0
38,2446,919078184481587200,0,20.8,84.0,17.9,924.6,0.0,1,0.0
39,767,803963226358771712,0,18.2,73.0,13.2,930.1,0.0,1,0.0
40,3126,967212330886008832,0,19.8,71.0,14.4,927.7,0.0,1,0.0
41,3863,848168480885022720,0,18.4,77.0,14.3,931.1,0.0,1,0.0
42,1434,843658238977593349,0,18.1,81.0,14.9,929.5,0.0,1,0.0
43,1227,833359650020028421,0,32.5,31.0,13.3,927.3,0.0,1,0.0
44,1443,844530415381573632,0,20.3,67.0,13.8,932.2,0.0,1,0.0
45,2013,898901052006596608,0,16.6,89.0,14.8,927.9,0.2,1,0.0
46,2748,935432638168477696,0,19.9,81.0,16.5,926.8,0.0,1,0.0
47,2150,903388467014418432,0,15.6,78.0,11.8,934.0,0.0,1,0.0
48,2809,941722647532130305,1,30.7,39.0,14.9,923.6,0.0,1,0.0
49,4911,898709635875561473,1,16.4,88.0,14.3,928.1,0.0,1,0.0
50,3816,1041703340722319360,1,16.1,80.0,12.6,924.9,2.2,1,0.0
51,1656,869358971106316293,1,20.3,69.0,14.3,930.1,0.0,1,0.0
52,3625,1051175095656488960,1,28.9,46.0,16.0,923.2,0.0,1,0.0
53,2869,946545753803165696,1,21.9,80.0,18.3,925.0,0.0,1,0.0
54,2247,913950246887190529,1,17.0,89.0,15.1,926.2,5.2,1,0.0
55,1638,867569287925518336,1,17.9,84.0,15.3,931.0,0.0,1,0.0
56,3711,933727231624409088,1,22.2,62.0,14.6,925.4,0.0,1,0.0
